yyyymm;veh_f_all;veh_s_all;veh_u_all;veh_r_all;vehrn_lp_all;vehrn_biap_all;vehrn_lr_all;vehrn_biar_all;vehrn_gt_all;vehrn_mpg_all;vehrn_hp_all;vehrn_hr_all;vehrn_tb_all;vehrn_fb_all;vehrn_gas_all;vehrn_sel_all
201005;68;3;29;139;55;2;19;0;3;3;8;4;12;7;3;4
201006;68;3;29;139;53;2;25;0;1;3;8;6;12;5;3;4
201007;62;5;33;129;53;2;18;0;3;4;10;3;16;9;2;4
201008;65;5;30;135;52;1;24;0;2;5;10;7;13;9;2;3
201009;59;7;34;125;47;3;21;0;1;3;10;5;15;9;0;4
201010;60;5;35;125;47;3;20;0;3;2;9;6;17;10;2;3
201011;62;6;32;130;47;2;20;0;2;3;11;5;15;9;1;2
201012;65;5;30;135;49;3;22;1;3;3;11;7;15;5;1;2
201101;58;6;36;122;43;3;18;0;3;3;15;7;14;6;4;3
201102;59;5;36;123;41;5;16;1;3;3;10;5;15;9;3;3
201103;60;5;35;125;42;3;17;0;2;7;11;7;13;7;8;2
201104;56;7;37;119;37;4;18;0;1;8;12;5;10;7;9;7
201105;60;7;33;127;43;3;17;1;1;10;12;6;10;5;8;4
201106;58;3;39;119;36;3;13;0;2;9;13;5;18;5;6;4
201107;53;5;42;111;35;2;16;0;2;5;16;8;17;7;5;3
201108;53;5;42;111;35;3;19;1;2;4;13;8;18;11;3;4
201109;55;3;42;113;38;2;16;0;1;4;11;7;19;11;3;3
201110;54;4;42;112;35;2;22;0;3;3;13;6;22;10;3;2
201111;60;6;34;126;41;2;21;0;2;6;12;5;13;11;2;3
201112;56;5;39;117;36;2;20;1;2;4;11;8;18;8;2;5
201201;58;7;35;123;37;2;21;1;5;5;15;7;14;8;3;2
201202;59;5;36;123;34;3;22;0;5;3;15;4;15;7;3;4
201203;59;4;37;122;37;3;21;0;5;8;13;5;16;8;6;4
201204;63;6;31;132;37;2;26;0;4;8;11;5;13;6;6;3
201205;64;4;32;132;38;3;23;0;6;7;10;5;15;5;4;3
201206;61;6;33;128;39;2;20;0;5;5;12;6;16;6;3;4
201207;63;5;32;131;42;3;24;0;4;5;14;6;12;6;3;1
201208;61;5;34;127;36;5;23;0;4;4;12;5;13;8;5;1
201209;66;5;29;137;36;4;26;0;7;6;12;3;11;6;2;2
201210;59;6;35;124;32;5;22;1;6;7;15;4;13;7;4;2
201211;60;8;32;128;31;2;23;1;6;5;13;5;14;8;2;2
201212;62;6;32;130;36;3;23;1;5;6;11;5;12;9;2;4
201301;61;6;33;128;38;4;22;0;4;5;14;7;13;7;2;3
