Date,h=1,h=3,h=12
1/1970,1.11567366,1.118076986,1.050716477
2/1970,1.132191308,1.130698972,1.054917725
3/1970,1.163354981,1.153541953,1.061306164
4/1970,1.232219384,1.202189457,1.074030149
5/1970,1.203490568,1.181340101,1.067987957
6/1970,1.163204383,1.151793204,1.05933367
7/1970,1.126410314,1.124447045,1.050953394
8/1970,1.091461954,1.097590608,1.041956053
9/1970,1.081427423,1.088536585,1.03758755
10/1970,1.055517757,1.068023634,1.030104871
11/1970,1.024195465,1.044041501,1.022119131
12/1970,1.011759188,1.033002581,1.016920599
1/1971,0.988321878,1.014204706,1.010161198
2/1971,0.942750927,0.979744567,0.999726753
3/1971,0.923740424,0.964652267,0.994505511
4/1971,0.907841105,0.951952255,0.98999345
5/1971,0.908884653,0.952142472,0.989362515
6/1971,0.901793526,0.946116045,0.986772556
7/1971,0.915132636,0.955623852,0.989078834
8/1971,0.909783173,0.951390696,0.987358475
9/1971,0.90198152,0.945511347,0.985130825
10/1971,0.910300475,0.951708676,0.986588875
11/1971,0.910120754,0.951219351,0.985996876
12/1971,0.928799003,0.965062231,0.990025356
1/1972,0.882520671,0.92952876,0.979375036
2/1972,0.843054755,0.898855948,0.96986503
3/1972,0.818364484,0.879071129,0.963396955
4/1972,0.806037858,0.869001323,0.959906427
5/1972,0.808491713,0.870935932,0.960564914
6/1972,0.817169006,0.878159788,0.963433257
7/1972,0.823206004,0.88361712,0.966007441
8/1972,0.832023268,0.891186712,0.96930924
9/1972,0.845652951,0.902201706,0.973100808
10/1972,0.859579482,0.9135808,0.977335817
11/1972,0.89211078,0.939209013,0.985958221
12/1972,0.917934307,0.959884405,0.993054033
1/1973,0.957329112,0.990897918,1.003478077
2/1973,0.990385253,1.016571114,1.012082347
3/1973,1.00519875,1.029369294,1.017619011
4/1973,1.047329798,1.061840423,1.028186052
5/1973,1.072417854,1.081330857,1.034559519
6/1973,1.092773477,1.09834662,1.041200153
7/1973,1.139802561,1.134233602,1.05271273
8/1973,1.165921783,1.154299714,1.059348335
9/1973,1.206801264,1.185025582,1.068698849
10/1973,1.231895767,1.203950512,1.074550266
11/1973,1.299153159,1.251110623,1.086728593
12/1973,1.213188252,1.191061363,1.071756656
1/1974,1.166314716,1.156714035,1.062326905
2/1974,1.120428376,1.123900627,1.054180216
3/1974,1.107948841,1.115330863,1.052681255
4/1974,1.124106524,1.127688311,1.056869475
5/1974,1.143914525,1.142917489,1.062050552
6/1974,1.157348903,1.154360219,1.06691157
7/1974,1.201423161,1.187959951,1.077751785
8/1974,1.256709096,1.228805026,1.089991818
9/1974,1.296050968,1.258321472,1.098770263
10/1974,1.32698608,1.280754196,1.104992184
11/1974,1.319131291,1.272672454,1.100342304
12/1974,1.330206759,1.277812697,1.099202312
1/1975,1.379262296,1.30829959,1.10390751
2/1975,1.252361709,1.219665323,1.080916381
3/1975,1.174474755,1.162768053,1.064667519
